dispatching_base_number,date,active_vehicles,trips,Day,DayOfWeek,Month,Predicted_Trips
B02512,2015-01-01,190,1132,1,3,1,1164.17
B02765,2015-01-01,225,1765,1,3,1,1658.42
B02764,2015-01-01,3427,29421,1,3,1,28863.98
B02682,2015-01-01,945,7679,1,3,1,8504.5
B02617,2015-01-01,1228,9537,1,3,1,9987.93
B02598,2015-01-01,870,6903,1,3,1,6970.76
B02598,2015-01-02,785,4768,2,4,1,5266.08
B02617,2015-01-02,1137,7065,2,4,1,10580.7
B02512,2015-01-02,175,875,2,4,1,954.43
B02682,2015-01-02,890,5506,2,4,1,7409.34
B02765,2015-01-02,196,1001,2,4,1,1153.22
B02764,2015-01-02,3147,19974,2,4,1,23665.74
B02765,2015-01-03,201,1526,3,5,1,1373.21
B02617,2015-01-03,1188,10664,3,5,1,10883.92
B02598,2015-01-03,818,7432,3,5,1,6720.43
B02682,2015-01-03,915,8010,3,5,1,7865.15
B02512,2015-01-03,173,1088,3,5,1,977.0
B02764,2015-01-03,3215,29729,3,5,1,28664.85
B02512,2015-01-04,147,791,4,6,1,885.02
B02682,2015-01-04,812,5621,4,6,1,5942.06
B02598,2015-01-04,746,5223,4,6,1,5462.11
B02765,2015-01-04,183,993,4,6,1,1068.67
B02617,2015-01-04,1088,7729,4,6,1,10262.03
B02764,2015-01-04,2862,20441,4,6,1,22411.49
B02512,2015-01-05,194,984,5,0,1,1101.87
B02682,2015-01-05,951,6012,5,0,1,7401.62
B02617,2015-01-05,1218,7899,5,0,1,8728.94
B02764,2015-01-05,3387,20926,5,0,1,24299.93
B02598,2015-01-05,907,5798,5,0,1,6316.9
B02765,2015-01-05,227,1133,5,0,1,1323.0
B02764,2015-01-06,3473,25301,6,1,1,28037.87
B02682,2015-01-06,1022,7491,6,1,1,7688.15
B02617,2015-01-06,1336,10128,6,1,1,10451.23
B02765,2015-01-06,234,1376,6,1,1,1488.68
B02512,2015-01-06,218,1314,6,1,1,1314.77
B02598,2015-01-06,933,6816,6,1,1,7089.01
B02617,2015-01-07,1363,11528,7,2,1,11396.12
B02682,2015-01-07,1039,9078,7,2,1,8798.3
B02764,2015-01-07,3603,29949,7,2,1,29138.95
B02765,2015-01-07,248,1704,7,2,1,1736.99
B02512,2015-01-07,217,1446,7,2,1,1435.32
B02598,2015-01-07,974,8397,7,2,1,8287.96
B02765,2015-01-08,262,1911,8,3,1,1919.65
B02598,2015-01-08,1070,10050,8,3,1,9800.14
B02512,2015-01-08,238,1772,8,3,1,1723.11
B02682,2015-01-08,1135,10416,8,3,1,10106.99
B02764,2015-01-08,3831,33802,8,3,1,31032.08
B02617,2015-01-08,1463,13462,8,3,1,13276.96
B02617,2015-01-09,1455,13165,9,4,1,13504.45
B02512,2015-01-09,224,1560,9,4,1,1606.28
B02764,2015-01-09,3820,33517,9,4,1,33910.0
B02682,2015-01-09,1140,10477,9,4,1,10630.03
B02598,2015-01-09,1070,9538,9,4,1,9766.42
B02765,2015-01-09,280,2039,9,4,1,2040.73
B02682,2015-01-10,1057,11629,10,5,1,11044.92
B02617,2015-01-10,1331,13856,10,5,1,12219.97
B02598,2015-01-10,949,10287,10,5,1,9314.85
B02512,2015-01-10,206,1646,10,5,1,1577.69
B02764,2015-01-10,3558,38864,10,5,1,37166.42
B02765,2015-01-10,245,2202,10,5,1,2121.24
B02765,2015-01-11,220,1672,11,6,1,1620.42
B02598,2015-01-11,832,7176,11,6,1,6978.3
B02682,2015-01-11,943,8461,11,6,1,8777.96
B02764,2015-01-11,3186,27681,11,6,1,25247.14
B02617,2015-01-11,1228,10932,11,6,1,11282.38
B02512,2015-01-11,162,1104,11,6,1,1065.59
B02764,2015-01-12,3499,26852,12,0,1,28518.55
B02765,2015-01-12,279,1711,12,0,1,1761.17
B02512,2015-01-12,217,1399,12,0,1,1394.59
B02598,2015-01-12,964,7915,12,0,1,8181.15
B02682,2015-01-12,1082,9107,12,0,1,8865.15
B02617,2015-01-12,1323,10662,12,0,1,10509.9
